fact_id,geo_id,date_id,sales_amount
948,53,17,18159134.00
949,53,2,17127012.00
950,53,9,17127012.00
951,53,16,17127012.00
952,53,1,16672783.00
953,53,8,16672783.00
954,53,15,16672783.00
955,54,6,5654601.00
956,54,13,5654601.00
957,54,20,5654601.00
958,54,5,5134873.00
959,54,12,5134873.00
960,54,19,5134873.00
961,54,4,4882398.00
962,54,11,4882398.00
963,54,18,4882398.00
964,54,3,4252946.00
965,54,10,4252946.00
966,54,17,4252946.00
967,54,2,3912447.00
968,54,9,3912447.00
969,54,16,3912447.00
970,54,1,3850514.00
971,54,8,3850514.00
972,54,15,3850514.00
973,55,6,2020805.00
974,55,13,2020805.00
975,55,20,2020805.00
976,55,5,1915757.00
977,55,12,1915757.00
978,55,19,1915757.00
979,55,4,1804235.00
980,55,11,1804235.00
981,55,18,1804235.00
982,55,3,NULL
983,55,10,NULL
984,55,17,NULL
